,City,Country,Date,Lat,Lng,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,Anadyr,RU,1659553484,64.75,177.4833,0,67,57.0,4.0
1,Ushuaia,AR,1659553552,-54.8,-68.3,75,87,42.42,1.14
2,Lebu,CL,1659553742,-37.6167,-73.65,50,74,51.87,4.63
3,Fortuna,US,1659553743,40.5982,-124.1573,20,81,70.93,10.36
4,Saint-Philippe,RE,1659553743,-21.3585,55.7679,48,83,69.39,8.41
5,Bluff,NZ,1659553743,-46.6,168.3333,100,74,44.8,16.4
6,Senno,RU,1659553744,59.5336,33.9167,8,74,59.27,2.24
7,Albany,US,1659553744,42.6001,-73.9662,6,43,89.67,4.0
8,Qaanaaq,GL,1659553744,77.484,-69.3632,90,63,45.14,0.65
9,Saint Paul Harbor,US,1659553745,57.79,-152.4072,0,49,69.31,9.22
10,Megion,RU,1659553745,61.0296,76.1136,99,71,57.22,7.0
11,Sohag,EG,1659553745,26.557,31.6948,4,17,93.88,14.7
12,Hilo,US,1659553615,19.7297,-155.09,20,74,81.1,4.61
13,Rikitea,PF,1659553746,-23.1203,-134.9692,94,68,72.14,16.26
14,Huarmey,PE,1659553746,-10.0681,-78.1522,46,72,67.59,12.53
15,Butaritari,KI,1659553746,3.0707,172.7902,72,80,80.38,14.25
16,Huejuquilla el Alto,MX,1659553747,22.6,-103.8667,81,43,79.09,3.62
17,Nikolskoye,RU,1659553747,59.7035,30.7861,36,83,67.89,2.35
18,Ponta do Sol,PT,1659553747,32.6667,-17.1,0,77,76.71,5.08
19,Chicama,PE,1659553748,-7.8447,-79.1469,15,62,61.34,11.48
20,Pevek,RU,1659553748,69.7008,170.3133,100,99,34.92,8.61
21,Kashgar,CN,1659553748,39.4547,75.9797,100,53,71.08,0.65
22,Río Gallegos,AR,1659553749,-51.6226,-69.2181,100,82,40.51,8.52
23,Maragogi,BR,1659553749,-9.0122,-35.2225,100,90,75.24,14.99
24,Kavieng,PG,1659553749,-2.5744,150.7967,99,78,81.88,16.49
25,Vila Franca do Campo,PT,1659553750,37.7167,-25.4333,33,74,73.81,8.34
26,Yatou,CN,1659553750,37.15,122.3833,1,95,77.02,7.18
27,Hithadhoo,MV,1659553750,-0.6,73.0833,84,72,81.39,16.26
28,São João da Barra,BR,1659553510,-21.6403,-41.0511,0,70,80.69,13.29
29,High Level,CA,1659553751,58.5169,-117.136,100,79,55.47,4.88
30,Busselton,AU,1659553751,-33.65,115.3333,91,75,53.6,17.76
31,Mar del Plata,AR,1659553644,-38.0023,-57.5575,15,92,50.88,4.0
32,Gurupi,BR,1659553751,-11.7292,-49.0686,5,16,95.77,7.7
33,Hofn,IS,1659553752,64.2539,-15.2082,82,75,48.33,19.77
34,Codrington,AU,1659553752,-38.2667,141.9667,0,89,49.87,14.85
35,Imperatriz,BR,1659553752,-5.5264,-47.4917,17,25,97.86,7.43
36,Mataura,NZ,1659553753,-46.1927,168.8643,100,87,44.47,3.15
37,Castro,BR,1659553753,-24.7911,-50.0119,6,42,75.58,5.17
38,Tegul'det,RU,1659553753,57.3064,88.1667,100,85,53.94,6.02
39,Springfield,US,1659553507,37.2153,-93.2982,0,44,98.98,14.97
40,Port Alfred,ZA,1659553754,-33.5906,26.891,29,74,64.18,3.0
41,Kaitangata,NZ,1659553754,-46.2817,169.8464,100,85,42.55,4.32
42,Tornio,FI,1659553754,65.8481,24.1466,100,94,60.82,14.43
43,East London,ZA,1659553755,-33.0153,27.9116,98,49,71.1,7.25
44,Mahébourg,MU,1659553755,-20.4081,57.7,60,68,67.24,12.64
45,Nemuro,JP,1659553755,43.3236,145.575,94,92,58.87,9.95
46,Thompson,CA,1659553756,55.7435,-97.8558,88,28,65.12,10.51
47,Markova,UA,1659553756,48.6758,24.4138,97,68,61.0,2.13
48,Ribeira Grande,PT,1659553756,38.5167,-28.7,75,83,79.2,10.36
49,Krasnosel'kup,RU,1659553757,65.7,82.4667,43,67,52.0,8.05
50,Hualmay,PE,1659553467,-11.0964,-77.6139,44,73,65.77,10.96
51,Bredasdorp,ZA,1659553757,-34.5322,20.0403,8,92,49.51,6.11
52,Saldanha,ZA,1659553757,-33.0117,17.9442,29,81,54.21,6.78
53,Tacna,PE,1659553758,-18.0056,-70.2483,0,52,64.6,9.22
54,Lumeje,AO,1659553758,-11.55,20.7833,83,29,76.1,5.3
55,New Norfolk,AU,1659553758,-42.7826,147.0587,100,90,49.5,5.14
56,Jimo,CN,1659553759,36.3897,120.4622,0,90,79.3,3.53
57,Jamestown,US,1659553746,42.097,-79.2353,0,47,88.95,12.66
58,Mandalgovi,MN,1659553759,45.7625,106.2708,0,82,60.26,11.99
59,Arraial do Cabo,BR,1659553759,-22.9661,-42.0278,20,68,73.26,9.22
60,Susuman,RU,1659553760,62.7833,148.1667,100,82,58.93,3.8
61,Afuá,BR,1659553760,-0.1567,-50.3867,32,62,86.25,10.18
62,Mariental,NA,1659553760,-24.6333,17.9667,0,41,59.52,9.86
63,Hermanus,ZA,1659553761,-34.4187,19.2345,0,83,54.81,14.88
64,George Town,MY,1659553308,5.4112,100.3354,20,87,79.9,1.14
65,Saint George,US,1659553504,37.1041,-113.5841,0,28,100.63,5.01
66,Roald,NO,1659553761,62.5833,6.1333,75,77,63.52,14.97
67,Kalanguy,RU,1659553762,51.0167,116.5167,100,95,62.92,7.14
68,Puerto Ayora,EC,1659553762,-0.7393,-90.3518,56,80,80.56,8.99
69,Wuzhou,CN,1659553762,23.4833,111.3167,100,98,75.69,1.12
70,Jalingo,NG,1659553763,8.8833,11.3667,75,85,75.25,4.61
71,Ilulissat,GL,1659553763,69.2167,-51.1,40,54,53.62,3.44
72,Cedral,MX,1659553763,23.8,-100.7333,5,22,82.65,11.61
73,Port Elizabeth,ZA,1659553764,-33.918,25.5701,76,79,61.54,5.28
74,Mogocha,RU,1659553764,53.7333,119.7667,100,89,64.72,0.74
75,Khanu Woralaksaburi,TH,1659553764,16.0617,99.8606,100,90,77.79,3.74
76,Florence,IT,1659553626,43.7667,11.25,0,33,91.67,3.44
77,Muromtsevo,RU,1659553765,56.3724,75.2418,11,83,56.62,4.5
78,Hobart,AU,1659553765,-42.8794,147.3294,75,92,49.86,8.05
79,Kirakira,SB,1659553765,-10.4544,161.9205,20,86,77.94,8.39
80,Bolobo,CD,1659553766,-2.1667,16.2333,10,53,78.75,3.09
81,Chui,UY,1659553766,-33.6971,-53.4616,100,99,57.63,1.66
82,Itatinga,BR,1659553546,-23.1017,-48.6158,3,25,82.35,1.81
83,Punta Arenas,CL,1659553589,-53.15,-70.9167,75,83,42.82,9.22
84,Timberlake,US,1659553767,37.3207,-79.2575,0,54,91.96,3.44
85,Berlevåg,NO,1659553767,70.8578,29.0864,100,93,53.6,9.22
86,Raglan,NZ,1659553767,-37.8,174.8833,3,93,51.44,4.0
87,Vanimo,PG,1659553768,-2.6741,141.3028,100,91,77.2,6.31
88,Katsuura,JP,1659553768,35.1333,140.3,76,91,78.49,18.86
89,Peterhead,GB,1659553769,57.5058,-1.7981,100,83,59.4,10.78
90,Bako,ET,1659553770,5.7833,36.5667,92,73,65.88,2.53
91,Sistranda,NO,1659553770,63.7256,8.834,87,84,58.96,13.71
92,Yellowknife,CA,1659553770,62.456,-114.3525,39,48,62.56,8.99
93,Gossas,SN,1659553771,14.4912,-16.0642,100,73,81.18,3.04
94,Erenhot,CN,1659553771,43.6475,111.9767,100,61,78.58,10.18
95,Atuona,PF,1659553771,-9.8,-139.0333,14,77,77.36,14.47
96,Frumosu,RO,1659553772,47.6167,25.65,0,68,63.59,4.18
97,Avarua,CK,1659553772,-21.2078,-159.775,20,60,73.45,12.66
98,Kimbe,PG,1659553772,-5.5502,150.1429,73,90,75.31,4.92
99,Palu,ID,1659553773,-0.8917,119.8707,37,96,74.77,2.53
100,Kabalo,CD,1659553773,-6.05,26.9167,0,34,80.92,5.03
101,Hua Hin,TH,1659553752,12.5707,99.9588,100,89,83.89,7.18
102,Esperance,AU,1659553774,-33.8667,121.9,89,72,49.84,31.97
103,Lüderitz,NA,1659553774,-26.6481,15.1594,0,88,55.8,12.08
104,Kathu,TH,1659553774,7.9178,98.3332,100,74,84.74,6.53
105,Tuktoyaktuk,CA,1659553775,69.4541,-133.0374,100,84,44.92,4.21
106,Kumul,CN,1659553774,42.8,93.45,0,18,85.89,9.64
107,Koumac,NC,1659553775,-20.5667,164.2833,13,91,72.09,6.49
108,Trairi,BR,1659553567,-3.2778,-39.2689,99,62,81.66,12.5
109,Dzerzhinsk,RU,1659553775,56.2389,43.4631,0,82,66.02,0.0
110,Sangar,RU,1659553776,63.9242,127.4739,81,97,58.35,0.18
111,Cape Town,ZA,1659553776,-33.9258,18.4232,78,80,55.9,4.0
112,Norman Wells,CA,1659553776,65.282,-126.8329,100,82,56.21,10.31
113,Hamilton,US,1659553635,39.1834,-84.5333,40,59,94.24,14.97
114,La Ronge,CA,1659553777,55.1001,-105.2842,100,53,60.22,5.12
115,Chabahar,IR,1659553777,25.2919,60.643,60,87,82.51,6.11
116,Blankenberge,BE,1659553696,51.3131,3.1323,85,56,77.97,6.46
117,Barrow,US,1659553778,71.2906,-156.7887,100,61,51.3,14.61
118,Avera,US,1659553778,33.194,-82.5271,91,34,92.71,3.94
119,Carlton,US,1659553779,45.2943,-123.1765,0,52,82.33,5.75
120,Bethel,US,1659553779,41.3712,-73.414,20,51,90.36,3.44
121,Mudon,MM,1659553779,16.2578,97.7164,100,96,76.75,6.82
122,Meulaboh,ID,1659553780,4.1363,96.1285,100,91,74.52,4.36
123,Kaihua,CN,1659553780,23.3687,104.28,28,93,66.0,2.28
124,Kapaa,US,1659553780,22.0752,-159.319,20,71,80.92,11.5
125,Yuancheng,CN,1659553781,36.652,107.7896,19,68,73.74,3.8
126,Bengkulu,ID,1659553781,-3.8004,102.2655,100,92,74.37,2.19
127,Sfântu Gheorghe,RO,1659553781,45.8667,25.7833,70,58,68.83,3.15
128,Lala,PH,1659553782,7.9745,123.7458,100,99,74.5,0.6
129,Nampula,MZ,1659553782,-15.1165,39.2666,100,84,66.2,3.36
130,Vila Velha,BR,1659553782,-20.3297,-40.2925,75,84,76.95,9.22
131,Klamath Falls,US,1659553720,42.2249,-121.7817,0,39,88.88,1.01
132,Perth,AU,1659553538,-31.9333,115.8333,100,94,53.04,8.05
133,Aklavik,CA,1659553783,68.2191,-135.0107,17,57,58.66,1.77
134,Kavaratti,IN,1659553783,10.5669,72.642,100,88,78.22,32.21
135,Manuk Mangkaw,PH,1659553783,4.8,119.85,94,72,83.07,4.5
136,Tiksi,RU,1659553784,71.6872,128.8694,98,81,42.71,6.53
137,Lorengau,PG,1659553784,-2.0226,147.2712,80,81,80.89,10.27
138,Deniliquin,AU,1659553784,-35.5333,144.9667,74,70,57.99,11.01
139,Lagoa,PT,1659553785,39.05,-27.9833,3,84,75.87,10.56
140,Tasiilaq,GL,1659553785,65.6145,-37.6368,43,73,46.56,7.67
141,Linxia Chengguanzhen,CN,1659553785,35.6003,103.2064,100,90,67.68,0.74
142,Remanso,BR,1659553786,-9.6179,-42.0831,19,42,84.92,7.65
143,Singaraja,ID,1659553786,-8.112,115.0882,34,81,76.57,6.31
144,Makakilo City,US,1659553786,21.3469,-158.0858,20,65,80.01,6.91
145,Khatanga,RU,1659553787,71.9667,102.5,100,66,49.68,6.98
146,Cidreira,BR,1659553787,-30.1811,-50.2056,100,86,64.49,20.15
147,Manzhouli,CN,1659553787,49.6,117.4333,23,70,67.96,6.26
148,Torbay,CA,1659553788,47.6666,-52.7314,100,77,73.89,12.48
149,Korla,CN,1659553788,41.7597,86.1469,5,27,84.15,5.19
150,Chernyshkovskiy,RU,1659553788,48.4219,42.2308,100,64,72.32,7.2
151,Hasaki,JP,1659553789,35.7333,140.8333,100,91,75.6,11.25
152,Jardim,BR,1659553789,-21.4803,-56.1381,24,16,95.92,8.3
153,Sechura,PE,1659553789,-5.5569,-80.8222,89,54,77.13,10.42
154,Wanning,CN,1659553790,18.8003,110.3967,100,87,79.52,5.48
155,Chumikan,RU,1659553790,54.7183,135.315,100,97,53.47,2.84
156,Asău,RO,1659553790,46.4333,26.4,13,66,69.28,3.31
157,Kem',RU,1659553791,64.9555,34.5793,100,65,58.71,7.07
158,Broome,US,1659553791,42.2506,-75.833,0,41,90.18,6.91
159,São Filipe,CV,1659553791,14.8961,-24.4956,80,85,77.25,5.08
160,Doha,QA,1659553600,25.2867,51.5333,0,59,96.78,4.61
161,La Gomera,GT,1659553792,14.0833,-91.05,100,63,89.31,5.97
162,Longyearbyen,SJ,1659553792,78.2186,15.6401,75,81,49.84,12.66
163,Poiares,PT,1659553792,40.2103,-8.2575,0,62,74.28,5.5
164,Geraldton,AU,1659553793,-28.7667,114.6,75,63,59.41,13.8
165,Nanortalik,GL,1659553793,60.1432,-45.2371,100,80,52.16,16.93
166,Dentsville,US,1659553793,34.064,-80.9582,0,52,95.32,3.44
167,San Cristobal,VE,1659553794,7.7669,-72.225,100,88,67.53,4.99
168,Opportunity,US,1659553794,47.6499,-117.2399,0,19,86.0,13.8
169,Maslovare,BA,1659553794,44.5656,17.5336,53,55,75.24,4.12
170,Clyde River,CA,1659553795,70.4692,-68.5914,100,94,37.06,7.31
171,Shenzhen,CN,1659553795,22.5455,114.0683,99,91,82.35,1.34
172,Ruteng,ID,1659553795,-8.6136,120.4721,13,90,57.94,1.83
173,Inta,RU,1659553796,66.0317,60.1659,100,44,69.3,13.35
174,Chokurdakh,RU,1659553796,70.6333,147.9167,100,73,48.58,8.81
175,Bilibino,RU,1659553796,68.0546,166.4372,100,95,54.48,1.43
176,Manyana,BW,1659553797,-23.4,21.7167,0,17,55.85,7.94
177,Biltine,TD,1659553797,14.5333,20.9167,96,50,82.49,10.25
178,Vincennes,FR,1659553797,48.85,2.4333,0,32,93.76,6.91
179,Pacific Grove,US,1659553620,36.6177,-121.9166,20,80,82.35,9.22
180,Rocha,UY,1659553798,-34.4833,-54.3333,100,89,61.12,0.69
181,Atlantic City,US,1659553772,39.3643,-74.4229,0,56,90.01,8.05
182,Camapuã,BR,1659553798,-19.5314,-54.0439,100,15,93.97,9.22
183,Inongo,CD,1659553798,-1.95,18.2667,99,81,70.95,5.32
184,Pochutla,MX,1659553799,15.7432,-96.4661,86,50,88.83,6.22
185,Chapais,CA,1659553799,49.7834,-74.8492,100,81,62.38,14.45
186,Luanda,AO,1659553799,-8.8368,13.2343,5,84,66.96,11.01
187,Walvis Bay,NA,1659553800,-22.9575,14.5053,9,85,54.09,13.53
188,Bathsheba,BB,1659553800,13.2167,-59.5167,93,81,87.04,18.41
189,Ternate,ID,1659553800,0.8,127.4,100,78,80.22,3.56
190,Haines Junction,CA,1659553801,60.7522,-137.5108,100,94,52.41,2.77
191,Port Blair,IN,1659553801,11.6667,92.75,100,86,80.35,25.99
192,Bojnourd,IR,1659553802,37.4747,57.329,0,31,76.96,1.86
193,Velizh,RU,1659553802,55.6056,31.1967,14,80,63.05,5.17
194,Ubari,LY,1659553803,26.5921,12.7805,58,16,96.69,8.19
195,Cairns,AU,1659553545,-16.9167,145.7667,61,93,71.06,6.91
196,Hong Kong,HK,1659553683,22.2855,114.1577,100,85,82.45,1.99
197,Mitsamiouli,KM,1659553803,-11.3847,43.2844,0,72,76.01,4.94
198,Upernavik,GL,1659553804,72.7868,-56.1549,6,73,45.32,8.37
199,Flinders,AU,1659553804,-34.5833,150.8552,100,77,63.18,7.0
200,Marsh Harbour,BS,1659553535,26.5412,-77.0636,0,67,84.16,13.09
201,Christchurch,NZ,1659553510,-43.5333,172.6333,100,80,48.9,6.91
202,Umm Kaddadah,SD,1659553805,13.6017,26.6876,100,57,77.56,14.9
203,Abu Samrah,SY,1659553805,35.3029,37.1841,0,39,84.94,8.08
204,Cannes,FR,1659553806,43.55,7.0167,0,59,85.5,3.44
205,Mbanza-Ngungu,CD,1659553806,-5.25,14.8667,0,53,74.59,4.18
206,Lenger,KZ,1659553806,42.183,69.8839,84,37,63.84,1.99
207,Aswān,EG,1659553807,24.0934,32.907,6,15,95.7,10.85
208,Bambous Virieux,MU,1659553772,-20.3428,57.7575,82,66,67.21,13.24
209,Vaini,TO,1659553807,-21.2,-175.2,20,88,75.36,10.36
210,Constitución,CL,1659553808,-35.3333,-72.4167,42,64,54.3,11.72
211,Laguna,US,1659553808,38.421,-121.4238,0,40,96.64,5.75
212,Vung Tau,VN,1659553746,10.346,107.0843,100,87,79.34,10.8
213,Sambava,MG,1659553809,-14.2667,50.1667,0,84,68.34,10.13
214,Naze,JP,1659553682,28.3667,129.4833,76,86,78.78,4.36
215,Jalu,LY,1659553810,29.0331,21.5482,0,29,90.39,13.13
216,Verkhnyaya Khava,RU,1659553810,51.8404,39.9413,33,76,71.67,8.88
217,Isangel,VU,1659553810,-19.55,169.2667,2,88,74.62,5.66
218,Dikson,RU,1659553811,73.5069,80.5464,100,99,42.17,8.28
219,Moussoro,TD,1659553811,13.6408,16.4901,35,50,87.19,8.16
220,Arlit,NE,1659553811,18.7369,7.3853,5,16,100.99,9.46
221,Honiara,SB,1659553812,-9.4333,159.95,5,87,76.39,7.45
222,Remedios,CU,1659553812,22.4947,-79.5458,0,64,90.52,13.18
223,Iqaluit,CA,1659553586,63.7506,-68.5145,49,61,47.7,5.01
224,Cherskiy,RU,1659553812,68.75,161.3,100,88,45.61,7.67
225,Santa Isabel,BR,1659553813,-23.3156,-46.2214,0,35,78.1,7.52
226,Severo-Kuril'sk,RU,1659553813,50.6789,156.125,30,88,51.51,7.47
227,Superior,US,1659553616,46.7208,-92.1041,40,55,78.71,24.16
228,Pingdingshan,CN,1659553814,33.7385,113.3012,0,71,83.32,2.75
229,Kabanjahe,ID,1659553814,3.1001,98.4908,100,98,63.03,3.58
230,Moen,NO,1659553815,69.1304,18.6123,75,72,62.87,3.44
231,Oberhausen-Rheinhausen,DE,1659553815,49.2739,8.4717,15,40,91.38,2.37
232,Harper,LR,1659553816,4.375,-7.7169,100,78,75.69,10.18
233,Pascagoula,US,1659553736,30.3658,-88.5561,75,80,89.42,9.22
234,San Quintín,MX,1659553816,30.4833,-115.95,88,71,75.7,16.24
235,Nago,JP,1659553817,26.5881,127.9761,100,83,83.25,5.19
236,Kutum,SD,1659553817,14.2,24.6667,100,65,71.56,12.88
237,Burgeo,CA,1659553817,47.6167,-57.6152,31,92,69.04,16.2
238,Kemin,KG,1659553817,42.7846,75.6892,82,75,62.53,3.96
239,Sisimiut,GL,1659553818,66.9395,-53.6735,100,76,47.41,5.06
240,Acapulco de Juárez,MX,1659553653,16.8634,-99.8901,75,70,85.82,5.75
241,Tchamba,TG,1659553818,9.0333,1.4167,79,95,72.01,4.05
242,Kudahuvadhoo,MV,1659553819,2.6708,72.8944,88,78,81.28,19.46
243,Atar,MR,1659553819,20.5169,-13.0499,10,27,97.43,10.78
244,Saint-Pierre,RE,1659553819,-21.3393,55.4781,40,75,69.48,18.41
245,Khovd,MN,1659553820,48.0056,91.6419,95,43,66.2,3.18
246,Te Anau,NZ,1659553820,-45.4167,167.7167,96,88,44.33,7.23
247,Boguchany,RU,1659553820,58.3814,97.4531,88,88,52.11,3.78
248,College,US,1659553821,64.8569,-147.8028,75,82,67.21,3.44
249,Oussouye,SN,1659553821,12.485,-16.5469,100,88,77.47,3.71
250,San Vicente,AR,1659553821,-26.6167,-54.1333,4,35,82.83,7.02
251,Dalby,AU,1659553822,-27.1833,151.2667,5,88,55.36,5.46
252,Kokopo,PG,1659553822,-4.352,152.2633,86,79,77.25,6.38
253,Nantucket,US,1659553822,41.2835,-70.0995,0,80,84.34,8.05
254,Porto-Novo,BJ,1659553823,6.4965,2.6036,47,80,73.74,9.35
255,Airai,TL,1659553823,-8.9266,125.4092,82,79,54.61,2.28
256,Olafsvik,IS,1659553823,64.8945,-23.7142,14,63,50.02,7.49
257,Faanui,PF,1659553823,-16.4833,-151.75,9,74,78.8,21.23
258,Kunjah,PK,1659553824,32.5285,73.9737,0,61,86.04,2.33
259,Berbera,SO,1659553824,10.4396,45.0143,75,43,92.21,4.23
260,San Felipe,VE,1659553825,10.3399,-68.7425,100,76,81.63,2.39
261,Iralaya,HN,1659553825,15.0,-83.2333,100,72,84.02,11.3
262,Coahuayana Viejo,MX,1659553825,18.7333,-103.6833,100,71,85.03,3.53
263,Ilhéus,BR,1659553826,-14.7889,-39.0494,0,62,76.03,7.65
264,Sharanga,RU,1659553826,57.1775,46.5396,55,77,64.56,1.86
265,Esmeraldas,BR,1659553826,-19.7625,-44.3139,95,24,79.66,4.97
266,Fairbanks,US,1659553776,64.8378,-147.7164,20,82,67.23,3.44
267,Dunedin,NZ,1659553827,-45.8742,170.5036,100,67,49.8,7.0
268,Leningradskiy,RU,1659553827,69.3833,178.4167,100,90,42.62,4.14
269,Pitanga,BR,1659553828,-24.7572,-51.7614,0,35,78.4,4.72
270,Vardø,NO,1659553828,70.3705,31.1107,100,100,51.78,6.91
271,Kruisfontein,ZA,1659553828,-34.0033,24.7314,54,86,55.06,2.84
272,Nueva Concepción,GT,1659553829,14.2,-91.3,88,61,87.06,6.17
273,Dawei,MM,1659553687,14.0833,98.2,100,94,77.05,7.16
274,West Wendover,US,1659553829,40.7391,-114.0733,0,29,87.01,8.05
275,Le Port,RE,1659553829,-20.9373,55.2919,50,84,69.8,4.03
276,Cabo San Lucas,MX,1659553830,22.8909,-109.9124,0,60,94.6,10.36
277,Srednekolymsk,RU,1659553830,67.45,153.6833,99,91,50.29,6.13
278,Port Hardy,CA,1659553830,50.6996,-127.4199,100,83,57.33,3.33
279,Churāchāndpur,IN,1659553831,24.3333,93.6667,100,99,66.83,2.1
280,Port-Cartier,CA,1659553772,50.0334,-66.8654,5,53,66.74,13.22
281,Beloha,MG,1659553831,-25.1667,45.05,0,79,64.96,13.98
282,Gouyave,GD,1659553832,12.1646,-61.7296,75,83,77.77,28.77
283,Ancud,CL,1659553832,-41.8697,-73.8203,100,79,46.22,12.44
284,Waipawa,NZ,1659553832,-41.4122,175.5153,100,87,44.33,6.11
285,Los Llanos de Aridane,ES,1659553832,28.6585,-17.9182,75,83,75.13,18.41
286,Aksarayskiy,RU,1659553833,46.7924,48.0119,72,30,82.31,6.96
287,Taoudenni,ML,1659553833,22.6783,-3.9836,22,9,108.68,3.22
288,Mocuba,MZ,1659553833,-16.8392,36.9856,1,95,63.41,2.55
